"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","user_sex","user_age","user_nationality","image_name","responses","question_order"
"340263.34500000026","user_info.html","external-html","0","340271","0.0-0.0","female","26","Asia10","","",""
"2507.099999999802","instruction_page.html","external-html","1","342812","0.0-1.0","","","","","",""
"1454.4150000001537","instruction_page2.html","external-html","2","344348","0.0-2.0","","","","","",""
"1028.5599999997648","instruction_page3.html","external-html","3","346188","0.0-3.0","","","","","",""
"17709.774999999325","","survey-likert","4","363900","0.0-4.0","","","","data49","{""0"":5,""1"":4}","[0,1]"
"17611.59499999945","","survey-likert","5","381514","0.0-5.0","","","","origin27","{""0"":6,""1"":1}","[0,1]"
"6364.26500000013","","survey-likert","6","387881","0.0-6.0","","","","data45","{""0"":4,""1"":3}","[0,1]"
"7516.125000000116","","survey-likert","7","395401","0.0-7.0","","","","origin13","{""0"":4,""1"":4}","[0,1]"
"12940.215000000491","","survey-likert","8","408344","0.0-8.0","","","","origin19","{""0"":4,""1"":6}","[0,1]"
"7860.070000000647","","survey-likert","9","416207","0.0-9.0","","","","data44","{""0"":4,""1"":4}","[0,1]"
"7516.099999999802","","survey-likert","10","423726","0.0-10.0","","","","origin49","{""0"":4,""1"":2}","[0,1]"
"5940.185000000347","","survey-likert","11","429670","0.0-11.0","","","","origin34","{""0"":5,""1"":4}","[0,1]"
"6292.809999999881","","survey-likert","12","435966","0.0-12.0","","","","data10","{""0"":5,""1"":2}","[0,1]"
"8596.155000000203","","survey-likert","13","444565","0.0-13.0","","","","data35","{""0"":5,""1"":5}","[0,1]"
"6723.895000000077","","survey-likert","14","451292","0.0-14.0","","","","origin15","{""0"":5,""1"":1}","[0,1]"
"6012.754999999772","","survey-likert","15","457308","0.0-15.0","","","","origin37","{""0"":5,""1"":4}","[0,1]"
"7108.875000000815","","survey-likert","16","464419","0.0-16.0","","","","origin4","{""0"":4,""1"":1}","[0,1]"
"12524.124999999942","","survey-likert","17","476946","0.0-17.0","","","","origin42","{""0"":1,""1"":5}","[0,1]"
"5900.649999999558","","survey-likert","18","482850","0.0-18.0","","","","origin5","{""0"":6,""1"":0}","[0,1]"
"7028.169999999576","","survey-likert","19","489881","0.0-19.0","","","","origin33","{""0"":5,""1"":3}","[0,1]"
"5844.385000000359","","survey-likert","20","495729","0.0-20.0","","","","origin24","{""0"":4,""1"":4}","[0,1]"
"10636.724999999395","","survey-likert","21","506368","0.0-21.0","","","","data24","{""0"":4,""1"":5}","[0,1]"
"4284.2799999999115","","survey-likert","22","510656","0.0-22.0","","","","data43","{""0"":4,""1"":4}","[0,1]"
"7996.355000000214","","survey-likert","23","518655","0.0-23.0","","","","origin44","{""0"":4,""1"":4}","[0,1]"
"10460.659999999742","","survey-likert","24","529119","0.0-24.0","","","","data27","{""0"":3,""1"":5}","[0,1]"
"6668.219999999623","","survey-likert","25","535791","0.0-25.0","","","","data57","{""0"":4,""1"":2}","[0,1]"
"6083.904999999446","","survey-likert","26","541878","0.0-26.0","","","","origin26","{""0"":4,""1"":4}","[0,1]"
"6259.935000000056","","survey-likert","27","548141","0.0-27.0","","","","origin35","{""0"":4,""1"":5}","[0,1]"
"3724.4349999991246","","survey-likert","28","551869","0.0-28.0","","","","data1","{""0"":4,""1"":3}","[0,1]"
"4964.774999999441","","survey-likert","29","556837","0.0-29.0","","","","data20","{""0"":4,""1"":2}","[0,1]"
"7716.984999999986","","survey-likert","30","564556","0.0-30.0","","","","data11","{""0"":3,""1"":4}","[0,1]"
"6932.835000000545","","survey-likert","31","571491","0.0-31.0","","","","data13","{""0"":4,""1"":5}","[0,1]"
"5484.344999999856","","survey-likert","32","576979","0.0-32.0","","","","origin48","{""0"":5,""1"":5}","[0,1]"
"5884.310000000289","","survey-likert","33","582867","0.0-33.0","","","","data2","{""0"":5,""1"":1}","[0,1]"
"5404.555000000168","","survey-likert","34","588274","0.0-34.0","","","","data18","{""0"":4,""1"":2}","[0,1]"
"6348.420000000275","","survey-likert","35","594626","0.0-35.0","","","","origin3","{""0"":5,""1"":1}","[0,1]"
"6116.39000000013","","survey-likert","36","600746","0.0-36.0","","","","origin36","{""0"":5,""1"":1}","[0,1]"
"4820.700000000186","","survey-likert","37","605569","0.0-37.0","","","","data12","{""0"":4,""1"":3}","[0,1]"
"7276.209999999963","","survey-likert","38","612849","0.0-38.0","","","","data46","{""0"":5,""1"":4}","[0,1]"
"8108.290000000154","","survey-likert","39","620960","0.0-39.0","","","","data53","{""0"":4,""1"":5}","[0,1]"
"5492.355000000331","","survey-likert","40","626456","0.0-40.0","","","","origin28","{""0"":3,""1"":5}","[0,1]"
"9788.344999999972","","survey-likert","41","636247","0.0-41.0","","","","data34","{""0"":3,""1"":4}","[0,1]"
"8916.879999999772","","survey-likert","42","645167","0.0-42.0","","","","origin6","{""0"":5,""1"":4}","[0,1]"
