"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","user_sex","user_age","user_nationality","image_name","responses","question_order"
"102710.30000000064","user_info.html","external-html","0","102796","0.0-0.0","male","21","Asia10","","",""
"2680.0599999987753","instruction_page.html","external-html","1","105521","0.0-1.0","","","","","",""
"11309.860000001208","instruction_page2.html","external-html","2","116888","0.0-2.0","","","","","",""
"6223.389999999199","instruction_page3.html","external-html","3","123784","0.0-3.0","","","","","",""
"7294.410000000411","","survey-likert","4","131081","0.0-4.0","","","","data22","{""0"":5,""1"":0}","[0,1]"
"4027.5299999993877","","survey-likert","5","135113","0.0-5.0","","","","data38","{""0"":5,""1"":0}","[0,1]"
"6604.304999998916","","survey-likert","6","141721","0.0-6.0","","","","origin21","{""0"":4,""1"":1}","[0,1]"
"4811.915000000241","","survey-likert","7","146536","0.0-7.0","","","","origin49","{""0"":2,""1"":4}","[0,1]"
"5724.239999999554","","survey-likert","8","152264","0.0-8.0","","","","origin14","{""0"":5,""1"":4}","[0,1]"
"5292.6100000003935","","survey-likert","9","157560","0.0-9.0","","","","data19","{""0"":5,""1"":4}","[0,1]"
"16516.120000000228","","survey-likert","10","174079","0.0-10.0","","","","data54","{""0"":4,""1"":4}","[0,1]"
"10260.035000001139","","survey-likert","11","184343","0.0-11.0","","","","data50","{""0"":4,""1"":1}","[0,1]"
"3092.225000000326","","survey-likert","12","187439","0.0-12.0","","","","origin24","{""0"":4,""1"":2}","[0,1]"
"12540.654999998864","","survey-likert","13","199982","0.0-13.0","","","","origin10","{""0"":3,""1"":2}","[0,1]"
"3940.209999998857","","survey-likert","14","203926","0.0-14.0","","","","data36","{""0"":4,""1"":1}","[0,1]"
"13644.564999998693","","survey-likert","15","217574","0.0-15.0","","","","origin11","{""0"":6,""1"":6}","[0,1]"
"7843.994999999239","","survey-likert","16","225422","0.0-16.0","","","","origin18","{""0"":2,""1"":2}","[0,1]"
"3604.2600000000675","","survey-likert","17","229030","0.0-17.0","","","","data30","{""0"":5,""1"":4}","[0,1]"
"9644.1049999994","","survey-likert","18","238677","0.0-18.0","","","","origin25","{""0"":6,""1"":1}","[0,1]"
"6532.059999999532","","survey-likert","19","245213","0.0-19.0","","","","origin15","{""0"":4,""1"":0}","[0,1]"
"3420.285000000149","","survey-likert","20","248637","0.0-20.0","","","","origin43","{""0"":4,""1"":2}","[0,1]"
"3140.3200000004435","","survey-likert","21","251780","0.0-21.0","","","","origin46","{""0"":5,""1"":1}","[0,1]"
"8796.949999999895","","survey-likert","22","260580","0.0-22.0","","","","data16","{""0"":3,""1"":2}","[0,1]"
"3028.994999998744","","survey-likert","23","263612","0.0-23.0","","","","origin6","{""0"":4,""1"":2}","[0,1]"
"5076.324999999953","","survey-likert","24","268692","0.0-24.0","","","","origin30","{""0"":6,""1"":3}","[0,1]"
"8139.889999998501","","survey-likert","25","276836","0.0-25.0","","","","data48","{""0"":4,""1"":1}","[0,1]"
"4187.909999998752","","survey-likert","26","281028","0.0-26.0","","","","origin23","{""0"":5,""1"":5}","[0,1]"
"7740.655000001425","","survey-likert","27","288772","0.0-27.0","","","","data14","{""0"":1,""1"":5}","[0,1]"
"3044.419999998354","","survey-likert","28","291819","0.0-28.0","","","","data17","{""0"":4,""1"":1}","[0,1]"
"5236.430000000808","","survey-likert","29","297059","0.0-29.0","","","","data57","{""0"":4,""1"":0}","[0,1]"
"3708.1799999995856","","survey-likert","30","300771","0.0-30.0","","","","data43","{""0"":4,""1"":1}","[0,1]"
"9196.050000000454","","survey-likert","31","309971","0.0-31.0","","","","data49","{""0"":5,""1"":3}","[0,1]"
