"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","user_sex","user_age","user_nationality","image_name","responses","question_order"
"23063.49999998929","user_info.html","external-html","0","23098","0.0-0.0","female","27","Asia10","","",""
"966.6999999899417","instruction_page.html","external-html","1","24170","0.0-1.0","","","","","",""
"642.9000000061933","instruction_page2.html","external-html","2","24889","0.0-2.0","","","","","",""
"695.3999999968801","instruction_page3.html","external-html","3","25625","0.0-3.0","","","","","",""
"10838.300000003073","","survey-likert","4","36469","0.0-4.0","","","","data50","{""0"":6,""1"":5}","[0,1]"
"3462.999999988824","","survey-likert","5","39939","0.0-5.0","","","","data46","{""0"":6,""1"":6}","[0,1]"
"3552.800000004936","","survey-likert","6","43497","0.0-6.0","","","","origin10","{""0"":6,""1"":4}","[0,1]"
"4047.900000005029","","survey-likert","7","47552","0.0-7.0","","","","data37","{""0"":5,""1"":5}","[0,1]"
"7385.100000014063","","survey-likert","8","54944","0.0-8.0","","","","origin39","{""0"":5,""1"":5}","[0,1]"
"3158.999999985099","","survey-likert","9","58108","0.0-9.0","","","","data41","{""0"":5,""1"":6}","[0,1]"
"2069.999999977881","","survey-likert","10","60184","0.0-10.0","","","","data15","{""0"":6,""1"":5}","[0,1]"
"1997.7000000071712","","survey-likert","11","62187","0.0-11.0","","","","origin48","{""0"":5,""1"":5}","[0,1]"
"3504.0999999910127","","survey-likert","12","65698","0.0-12.0","","","","origin11","{""0"":4,""1"":5}","[0,1]"
"1568.1999999796972","","survey-likert","13","67273","0.0-13.0","","","","origin19","{""0"":5,""1"":4}","[0,1]"
"3172.3999999812804","","survey-likert","14","70453","0.0-14.0","","","","origin24","{""0"":4,""1"":5}","[0,1]"
"2134.7999999998137","","survey-likert","15","72593","0.0-15.0","","","","data1","{""0"":5,""1"":5}","[0,1]"
"1470.100000005914","","survey-likert","16","74070","0.0-16.0","","","","origin35","{""0"":6,""1"":5}","[0,1]"
"3121.6999999887776","","survey-likert","17","77198","0.0-17.0","","","","data43","{""0"":5,""1"":5}","[0,1]"
"3077.2999999753665","","survey-likert","18","80282","0.0-18.0","","","","data7","{""0"":6,""1"":5}","[0,1]"
"3337.8999999840744","","survey-likert","19","83626","0.0-19.0","","","","origin26","{""0"":5,""1"":5}","[0,1]"
"3061.0000000160653","","survey-likert","20","86694","0.0-20.0","","","","data6","{""0"":6,""1"":5}","[0,1]"
"3020.0000000186265","","survey-likert","21","89722","0.0-21.0","","","","data53","{""0"":5,""1"":6}","[0,1]"
"2146.0000000079162","","survey-likert","22","91873","0.0-22.0","","","","origin9","{""0"":6,""1"":5}","[0,1]"
"2867.000000027474","","survey-likert","23","94748","0.0-23.0","","","","origin13","{""0"":5,""1"":5}","[0,1]"
