"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","user_sex","user_age","user_nationality","image_name","responses","question_order"
"24277.45999977924","user_info.html","external-html","0","24315","0.0-0.0","female","43","europe6,Africa10","","",""
"878.7549999542534","instruction_page.html","external-html","1","25203","0.0-1.0","","","","","",""
"664.1850001178682","instruction_page2.html","external-html","2","25876","0.0-2.0","","","","","",""
"986.9899998884648","instruction_page3.html","external-html","3","26870","0.0-3.0","","","","","",""
"3051.1000000406057","","survey-likert","4","29926","0.0-4.0","","","","origin7","{""0"":4,""1"":6}","[0,1]"
"2905.0149999093264","","survey-likert","5","32838","0.0-5.0","","","","data48","{""0"":5,""1"":3}","[0,1]"
"3598.2800000347197","","survey-likert","6","36447","0.0-6.0","","","","data44","{""0"":3,""1"":6}","[0,1]"
"6515.374999959022","","survey-likert","7","42968","0.0-7.0","","","","data37","{""0"":4,""1"":4}","[0,1]"
"4453.634999925271","","survey-likert","8","47428","0.0-8.0","","","","origin24","{""0"":6,""1"":5}","[0,1]"
"3825.7100000046194","","survey-likert","9","51260","0.0-9.0","","","","origin43","{""0"":4,""1"":5}","[0,1]"
"3910.1250001695007","","survey-likert","10","55178","0.0-10.0","","","","origin47","{""0"":5,""1"":4}","[0,1]"
"3005.3349998779595","","survey-likert","11","58190","0.0-11.0","","","","origin28","{""0"":3,""1"":6}","[0,1]"
"3527.409999864176","","survey-likert","12","61724","0.0-12.0","","","","origin20","{""0"":6,""1"":4}","[0,1]"
"17578.035000013188","","survey-likert","13","79308","0.0-13.0","","","","data38","{""0"":5,""1"":6}","[0,1]"
"3556.6099998541176","","survey-likert","14","82873","0.0-14.0","","","","data41","{""0"":6,""1"":6}","[0,1]"
"10635.999999940395","","survey-likert","15","93518","0.0-15.0","","","","origin18","{""0"":6,""1"":5}","[0,1]"
"2525.164999999106","","survey-likert","16","96051","0.0-16.0","","","","origin15","{""0"":6,""1"":5}","[0,1]"
"3376.4199998695403","","survey-likert","17","99433","0.0-17.0","","","","data47","{""0"":5,""1"":6}","[0,1]"
"2397.4649999290705","","survey-likert","18","101838","0.0-18.0","","","","data27","{""0"":6,""1"":5}","[0,1]"
"3083.3550000097603","","survey-likert","19","104932","0.0-19.0","","","","origin30","{""0"":5,""1"":5}","[0,1]"
"3491.7199998162687","","survey-likert","20","108432","0.0-20.0","","","","data5","{""0"":6,""1"":5}","[0,1]"
"4371.624999912456","","survey-likert","21","112810","0.0-21.0","","","","data23","{""0"":5,""1"":6}","[0,1]"
"3245.4100002069026","","survey-likert","22","116061","0.0-22.0","","","","origin29","{""0"":6,""1"":5}","[0,1]"
"4661.75500000827","","survey-likert","23","120730","0.0-23.0","","","","data43","{""0"":5,""1"":6}","[0,1]"
"2618.8799999654293","","survey-likert","24","123358","0.0-24.0","","","","data14","{""0"":5,""1"":5}","[0,1]"
"2595.960000064224","","survey-likert","25","125961","0.0-25.0","","","","origin2","{""0"":6,""1"":5}","[0,1]"
"2238.310000160709","","survey-likert","26","128205","0.0-26.0","","","","origin14","{""0"":5,""1"":6}","[0,1]"
"3906.620000023395","","survey-likert","27","132119","0.0-27.0","","","","data3","{""0"":6,""1"":5}","[0,1]"
"3065.2649998664856","","survey-likert","28","135190","0.0-28.0","","","","origin10","{""0"":5,""1"":4}","[0,1]"
"3483.795000007376","","survey-likert","29","138678","0.0-29.0","","","","data54","{""0"":4,""1"":6}","[0,1]"
"2887.3250000178814","","survey-likert","30","141572","0.0-30.0","","","","origin22","{""0"":5,""1"":5}","[0,1]"
"2625.149999978021","","survey-likert","31","144204","0.0-31.0","","","","origin27","{""0"":6,""1"":4}","[0,1]"
"4885.465000057593","","survey-likert","32","149095","0.0-32.0","","","","data28","{""0"":4,""1"":6}","[0,1]"
"3080.634999787435","","survey-likert","33","152184","0.0-33.0","","","","origin41","{""0"":5,""1"":5}","[0,1]"
"2780.189999844879","","survey-likert","34","154970","0.0-34.0","","","","data36","{""0"":6,""1"":4}","[0,1]"
"3158.464999869466","","survey-likert","35","158135","0.0-35.0","","","","data6","{""0"":5,""1"":6}","[0,1]"
"3541.7849998921156","","survey-likert","36","161682","0.0-36.0","","","","data17","{""0"":6,""1"":4}","[0,1]"
"3539.4499998074025","","survey-likert","37","165229","0.0-37.0","","","","origin11","{""0"":5,""1"":3}","[0,1]"
"4291.250000009313","","survey-likert","38","169526","0.0-38.0","","","","origin6","{""0"":4,""1"":6}","[0,1]"
"2904.8300001304597","","survey-likert","39","172439","0.0-39.0","","","","origin23","{""0"":6,""1"":5}","[0,1]"
"7333.244999870658","","survey-likert","40","179778","0.0-40.0","","","","data59","{""0"":6,""1"":5}","[0,1]"
"2927.034999942407","","survey-likert","41","182712","0.0-41.0","","","","origin17","{""0"":4,""1"":6}","[0,1]"
"3266.2649999838322","","survey-likert","42","185984","0.0-42.0","","","","origin45","{""0"":6,""1"":4}","[0,1]"
"3407.505000010133","","survey-likert","43","189400","0.0-43.0","","","","origin1","{""0"":5,""1"":5}","[0,1]"
"7518.5899999924","","survey-likert","44","196925","0.0-44.0","","","","data53","{""0"":5,""1"":5}","[0,1]"
"2743.049999931827","","survey-likert","45","199674","0.0-45.0","","","","data35","{""0"":4,""1"":6}","[0,1]"
"2937.8249999135733","","survey-likert","46","202617","0.0-46.0","","","","data40","{""0"":6,""1"":4}","[0,1]"
"3630.2700000815094","","survey-likert","47","206254","0.0-47.0","","","","origin9","{""0"":5,""1"":4}","[0,1]"
"4758.330000098795","","survey-likert","48","211019","0.0-48.0","","","","origin31","{""0"":4,""1"":5}","[0,1]"
"2073.904999997467","","survey-likert","49","213099","0.0-49.0","","","","data52","{""0"":5,""1"":4}","[0,1]"
"3326.230000006035","","survey-likert","50","216431","0.0-50.0","","","","origin19","{""0"":6,""1"":5}","[0,1]"
"3251.729999901727","","survey-likert","51","219688","0.0-51.0","","","","origin12","{""0"":5,""1"":6}","[0,1]"
"2440.429999958724","","survey-likert","52","222135","0.0-52.0","","","","data56","{""0"":6,""1"":4}","[0,1]"
"4685.405000112951","","survey-likert","53","226829","0.0-53.0","","","","data10","{""0"":5,""1"":6}","[0,1]"
"2537.980000022799","","survey-likert","54","229375","0.0-54.0","","","","origin46","{""0"":5,""1"":5}","[0,1]"
"3357.6400000602007","","survey-likert","55","232738","0.0-55.0","","","","data51","{""0"":6,""1"":4}","[0,1]"
"3616.565000033006","","survey-likert","56","236362","0.0-56.0","","","","data1","{""0"":6,""1"":6}","[0,1]"
"3172.2049999516457","","survey-likert","57","239542","0.0-57.0","","","","data32","{""0"":6,""1"":3}","[0,1]"
"3042.270000092685","","survey-likert","58","242592","0.0-58.0","","","","origin33","{""0"":5,""1"":6}","[0,1]"
"3038.0149998236448","","survey-likert","59","245634","0.0-59.0","","","","data31","{""0"":6,""1"":5}","[0,1]"
"2226.2050001882017","","survey-likert","60","247867","0.0-60.0","","","","data29","{""0"":5,""1"":6}","[0,1]"
"2243.83999989368","","survey-likert","61","250117","0.0-61.0","","","","data49","{""0"":6,""1"":5}","[0,1]"
"2571.639999980107","","survey-likert","62","252693","0.0-62.0","","","","origin21","{""0"":5,""1"":5}","[0,1]"
"1878.190000075847","","survey-likert","63","254577","0.0-63.0","","","","data30","{""0"":5,""1"":6}","[0,1]"
"2871.999999973923","","survey-likert","64","257454","0.0-64.0","","","","data25","{""0"":6,""1"":5}","[0,1]"
"3287.2899998910725","","survey-likert","65","260747","0.0-65.0","","","","origin40","{""0"":5,""1"":6}","[0,1]"
"3844.069999875501","","survey-likert","66","264597","0.0-66.0","","","","origin44","{""0"":6,""1"":5}","[0,1]"
"2681.654999963939","","survey-likert","67","267285","0.0-67.0","","","","origin38","{""0"":6,""1"":5}","[0,1]"
"4078.9399999193847","","survey-likert","68","271368","0.0-68.0","","","","origin5","{""0"":6,""1"":6}","[0,1]"
"3961.7349999025464","","survey-likert","69","275337","0.0-69.0","","","","origin25","{""0"":5,""1"":6}","[0,1]"
"3644.2800001241267","","survey-likert","70","278986","0.0-70.0","","","","origin39","{""0"":6,""1"":5}","[0,1]"
"2261.549999937415","","survey-likert","71","281254","0.0-71.0","","","","data7","{""0"":6,""1"":5}","[0,1]"
"2151.784999994561","","survey-likert","72","283412","0.0-72.0","","","","origin32","{""0"":6,""1"":5}","[0,1]"
