"rt","responses","question_order","trial_type","trial_index","time_elapsed","internal_node_id","subject"
"5547.619999968447","{""0"":5,""1"":5,""2"":4}","[0,1,2]","survey-likert","0","5576","0.0-0.0","bklx7fr3jnjvvwq"
"4803.324999986216","{""0"":6,""1"":6,""2"":3}","[0,1,2]","survey-likert","1","10388","0.0-1.0","bklx7fr3jnjvvwq"
