"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","user_sex","user_age","user_nationality","image_name","responses","question_order"
"256323.95500000007","user_info.html","external-html","0","256348","0.0-0.0","male","33","Asia10","","",""
"3321.5250000000233","instruction_page.html","external-html","1","259704","0.0-1.0","","","","","",""
"3113.2449999999953","instruction_page2.html","external-html","2","262847","0.0-2.0","","","","","",""
"887.2150000000256","instruction_page3.html","external-html","3","263767","0.0-3.0","","","","","",""
"7084.580000000016","","survey-likert","4","270857","0.0-4.0","","","","origin37","{""0"":6,""1"":2}","[0,1]"
"8971.229999999981","","survey-likert","5","279831","0.0-5.0","","","","origin20","{""0"":6,""1"":1}","[0,1]"
"9908.069999999949","","survey-likert","6","289743","0.0-6.0","","","","origin30","{""0"":6,""1"":0}","[0,1]"
"4339.809999999998","","survey-likert","7","294087","0.0-7.0","","","","data48","{""0"":4,""1"":1}","[0,1]"
"6396.289999999979","","survey-likert","8","300486","0.0-8.0","","","","data6","{""0"":6,""1"":0}","[0,1]"
"9564.01000000001","","survey-likert","9","310053","0.0-9.0","","","","data42","{""0"":2,""1"":2}","[0,1]"
"8996.034999999974","","survey-likert","10","319052","0.0-10.0","","","","origin28","{""0"":5,""1"":5}","[0,1]"
"3684.0449999999837","","survey-likert","11","322740","0.0-11.0","","","","data54","{""0"":6,""1"":6}","[0,1]"
"7364.410000000033","","survey-likert","12","330107","0.0-12.0","","","","origin16","{""0"":4,""1"":2}","[0,1]"
"4652.530000000028","","survey-likert","13","334763","0.0-13.0","","","","data11","{""0"":1,""1"":0}","[0,1]"
"6228.159999999974","","survey-likert","14","340995","0.0-14.0","","","","origin2","{""0"":4,""1"":1}","[0,1]"
"5412.414999999979","","survey-likert","15","346411","0.0-15.0","","","","origin4","{""0"":4,""1"":2}","[0,1]"
"4604.545000000042","","survey-likert","16","351019","0.0-16.0","","","","data27","{""0"":4,""1"":1}","[0,1]"
"5819.915000000037","","survey-likert","17","356843","0.0-17.0","","","","origin49","{""0"":1,""1"":1}","[0,1]"
"4764.135000000009","","survey-likert","18","361611","0.0-18.0","","","","data38","{""0"":4,""1"":1}","[0,1]"
"7292.000000000058","","survey-likert","19","368906","0.0-19.0","","","","origin3","{""0"":2,""1"":1}","[0,1]"
"6300.114999999991","","survey-likert","20","375210","0.0-20.0","","","","data33","{""0"":4,""1"":1}","[0,1]"
"6195.984999999986","","survey-likert","21","381410","0.0-21.0","","","","origin11","{""0"":1,""1"":0}","[0,1]"
"3884.689999999944","","survey-likert","22","385298","0.0-22.0","","","","origin7","{""0"":4,""1"":1}","[0,1]"
"9180.444999999949","","survey-likert","23","394503","0.0-23.0","","","","data28","{""0"":2,""1"":1}","[0,1]"
"7423.364999999991","","survey-likert","24","401930","0.0-24.0","","","","origin41","{""0"":4,""1"":2}","[0,1]"
"4820.020000000019","","survey-likert","25","406754","0.0-25.0","","","","data36","{""0"":4,""1"":1}","[0,1]"
"5156.484999999928","","survey-likert","26","411914","0.0-26.0","","","","data16","{""0"":3,""1"":1}","[0,1]"
"5715.955000000016","","survey-likert","27","417633","0.0-27.0","","","","origin44","{""0"":4,""1"":3}","[0,1]"
"4732.325000000012","","survey-likert","28","422370","0.0-28.0","","","","origin32","{""0"":5,""1"":5}","[0,1]"
"5284.0100000000675","","survey-likert","29","427658","0.0-29.0","","","","origin50","{""0"":5,""1"":4}","[0,1]"
"6332.179999999993","","survey-likert","30","433993","0.0-30.0","","","","data39","{""0"":5,""1"":3}","[0,1]"
"5444.010000000009","","survey-likert","31","439441","0.0-31.0","","","","data31","{""0"":5,""1"":3}","[0,1]"
"5844.004999999946","","survey-likert","32","445289","0.0-32.0","","","","origin1","{""0"":5,""1"":2}","[0,1]"
"4876.389999999956","","survey-likert","33","450169","0.0-33.0","","","","data14","{""0"":6,""1"":4}","[0,1]"
"5427.92499999993","","survey-likert","34","455601","0.0-34.0","","","","data44","{""0"":2,""1"":1}","[0,1]"
"3356.4949999999953","","survey-likert","35","458960","0.0-35.0","","","","data13","{""0"":5,""1"":4}","[0,1]"
"4012.515000000014","","survey-likert","36","462976","0.0-36.0","","","","origin6","{""0"":6,""1"":5}","[0,1]"
"3844.039999999979","","survey-likert","37","466824","0.0-37.0","","","","origin24","{""0"":5,""1"":6}","[0,1]"
"8868.574999999953","","survey-likert","38","475696","0.0-38.0","","","","data25","{""0"":1,""1"":4}","[0,1]"
