"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","user_sex","user_age","user_nationality","image_name","responses","question_order"
"169531.80000000066","user_info.html","external-html","0","5277759","0.0-0.0","male","31","Asia10","","",""
"2109.5249999998487","instruction_page.html","external-html","1","5279988","0.0-1.0","","","","","",""
"2349.5849999999336","instruction_page2.html","external-html","2","5282364","0.0-2.0","","","","","",""
"1882.0749999995169","instruction_page3.html","external-html","3","5284268","0.0-3.0","","","","","",""
"7565.4400000003225","","survey-likert","4","5291837","0.0-4.0","","","","data52","{""0"":5,""1"":5}","[0,1]"
"5955.434999999823","","survey-likert","5","5297796","0.0-5.0","","","","data58","{""0"":6,""1"":1}","[0,1]"
"3972.3450000001176","","survey-likert","6","5301772","0.0-6.0","","","","origin14","{""0"":6,""1"":4}","[0,1]"
"6892.605000000913","","survey-likert","7","5308668","0.0-7.0","","","","data16","{""0"":2,""1"":5}","[0,1]"
"3788.1749999996973","","survey-likert","8","5312460","0.0-8.0","","","","data54","{""0"":6,""1"":6}","[0,1]"
"3308.4799999996903","","survey-likert","9","5315772","0.0-9.0","","","","origin27","{""0"":6,""1"":4}","[0,1]"
"9028.669999999693","","survey-likert","10","5324804","0.0-10.0","","","","data26","{""0"":4,""1"":4}","[0,1]"
"3788.7150000005786","","survey-likert","11","5328596","0.0-11.0","","","","origin10","{""0"":2,""1"":3}","[0,1]"
"2972.649999999703","","survey-likert","12","5331571","0.0-12.0","","","","origin7","{""0"":5,""1"":5}","[0,1]"
"3484.244999999646","","survey-likert","13","5335060","0.0-13.0","","","","origin30","{""0"":6,""1"":6}","[0,1]"
"5484.585000000137","","survey-likert","14","5340547","0.0-14.0","","","","data33","{""0"":5,""1"":3}","[0,1]"
"6523.984999999811","","survey-likert","15","5347075","0.0-15.0","","","","origin1","{""0"":5,""1"":5}","[0,1]"
"2828.3350000001374","","survey-likert","16","5349907","0.0-16.0","","","","origin2","{""0"":5,""1"":5}","[0,1]"
"2357.150000001653","","survey-likert","17","5352267","0.0-17.0","","","","origin8","{""0"":6,""1"":5}","[0,1]"
"5380.745000000374","","survey-likert","18","5357651","0.0-18.0","","","","data27","{""0"":4,""1"":4}","[0,1]"
"7404.379999999946","","survey-likert","19","5365059","0.0-19.0","","","","origin43","{""0"":5,""1"":5}","[0,1]"
"4164.069999998901","","survey-likert","20","5369227","0.0-20.0","","","","origin34","{""0"":6,""1"":5}","[0,1]"
"3708.8000000003376","","survey-likert","21","5372939","0.0-21.0","","","","data21","{""0"":5,""1"":5}","[0,1]"
"3436.294999999518","","survey-likert","22","5376378","0.0-22.0","","","","origin37","{""0"":6,""1"":6}","[0,1]"
"3532.6499999992084","","survey-likert","23","5379915","0.0-23.0","","","","origin41","{""0"":6,""1"":4}","[0,1]"
"6963.845000000205","","survey-likert","24","5386882","0.0-24.0","","","","origin3","{""0"":6,""1"":3}","[0,1]"
"4204.3400000002","","survey-likert","25","5391090","0.0-25.0","","","","data44","{""0"":4,""1"":4}","[0,1]"
"5844.159999998694","","survey-likert","26","5396938","0.0-26.0","","","","origin45","{""0"":5,""1"":5}","[0,1]"
"3348.8200000010547","","survey-likert","27","5400290","0.0-27.0","","","","data6","{""0"":6,""1"":4}","[0,1]"
"4131.994999999704","","survey-likert","28","5404426","0.0-28.0","","","","data31","{""0"":4,""1"":4}","[0,1]"
"3780.179999999702","","survey-likert","29","5408210","0.0-29.0","","","","origin13","{""0"":5,""1"":5}","[0,1]"
"2820.6950000003562","","survey-likert","30","5411034","0.0-30.0","","","","origin46","{""0"":5,""1"":5}","[0,1]"
"3644.809999999765","","survey-likert","31","5414682","0.0-31.0","","","","data5","{""0"":3,""1"":3}","[0,1]"
"4748.180000000517","","survey-likert","32","5419434","0.0-32.0","","","","origin49","{""0"":4,""1"":3}","[0,1]"
"4924.3799999985495","","survey-likert","33","5424362","0.0-33.0","","","","origin26","{""0"":4,""1"":2}","[0,1]"
"4972.77000000031","","survey-likert","34","5429337","0.0-34.0","","","","data24","{""0"":4,""1"":3}","[0,1]"
"3764.7450000003446","","survey-likert","35","5433105","0.0-35.0","","","","data15","{""0"":4,""1"":4}","[0,1]"
"3908.1850000002305","","survey-likert","36","5437017","0.0-36.0","","","","origin35","{""0"":5,""1"":5}","[0,1]"
"3388.6299999994226","","survey-likert","37","5440409","0.0-37.0","","","","origin36","{""0"":6,""1"":6}","[0,1]"
"2836.8650000010966","","survey-likert","38","5443249","0.0-38.0","","","","data12","{""0"":5,""1"":5}","[0,1]"
"2580.7400000012713","","survey-likert","39","5445833","0.0-39.0","","","","data17","{""0"":6,""1"":5}","[0,1]"
"5924.275000001246","","survey-likert","40","5451761","0.0-40.0","","","","origin33","{""0"":6,""1"":3}","[0,1]"
"4060.105000000447","","survey-likert","41","5455825","0.0-41.0","","","","data35","{""0"":3,""1"":5}","[0,1]"
"5236.415000001201","","survey-likert","42","5461065","0.0-42.0","","","","origin47","{""0"":5,""1"":4}","[0,1]"
"2588.574999999779","","survey-likert","43","5463657","0.0-43.0","","","","data22","{""0"":4,""1"":4}","[0,1]"
"5012.139999998966","","survey-likert","44","5468673","0.0-44.0","","","","origin12","{""0"":0,""1"":4}","[0,1]"
"3628.339999999327","","survey-likert","45","5472305","0.0-45.0","","","","data48","{""0"":1,""1"":3}","[0,1]"
"2476.76999999932","","survey-likert","46","5474785","0.0-46.0","","","","origin40","{""0"":4,""1"":4}","[0,1]"
"3004.6949999996577","","survey-likert","47","5477792","0.0-47.0","","","","data20","{""0"":4,""1"":4}","[0,1]"
"3140.8400000000256","","survey-likert","48","5480936","0.0-48.0","","","","data19","{""0"":5,""1"":5}","[0,1]"
"3916.209999999439","","survey-likert","49","5484856","0.0-49.0","","","","origin21","{""0"":5,""1"":4}","[0,1]"
"3916.8250000002445","","survey-likert","50","5488776","0.0-50.0","","","","data46","{""0"":6,""1"":6}","[0,1]"
"4396.445000000356","","survey-likert","51","5493176","0.0-51.0","","","","origin23","{""0"":0,""1"":6}","[0,1]"
"6300.285000001197","","survey-likert","52","5499480","0.0-52.0","","","","data30","{""0"":3,""1"":5}","[0,1]"
"5036.6549999999115","","survey-likert","53","5504520","0.0-53.0","","","","origin6","{""0"":6,""1"":5}","[0,1]"
"5724.135000000417","","survey-likert","54","5510248","0.0-54.0","","","","data3","{""0"":6,""1"":3}","[0,1]"
"3228.294999998994","","survey-likert","55","5513480","0.0-55.0","","","","origin44","{""0"":5,""1"":5}","[0,1]"
"3724.5750000001863","","survey-likert","56","5517208","0.0-56.0","","","","data28","{""0"":4,""1"":4}","[0,1]"
"5412.1599999998","","survey-likert","57","5522624","0.0-57.0","","","","data2","{""0"":6,""1"":3}","[0,1]"
"4228.129999999539","","survey-likert","58","5526856","0.0-58.0","","","","data10","{""0"":5,""1"":4}","[0,1]"
"4060.7049999999","","survey-likert","59","5530919","0.0-59.0","","","","data25","{""0"":0,""1"":6}","[0,1]"
"6484.28500000044","","survey-likert","60","5537407","0.0-60.0","","","","data49","{""0"":5,""1"":5}","[0,1]"
"4820.2099999999045","","survey-likert","61","5542231","0.0-61.0","","","","origin48","{""0"":4,""1"":5}","[0,1]"
"2908.300000000978","","survey-likert","62","5545143","0.0-62.0","","","","data45","{""0"":5,""1"":5}","[0,1]"
"3300.704999999667","","survey-likert","63","5548447","0.0-63.0","","","","data53","{""0"":5,""1"":5}","[0,1]"
"2764.3649999991176","","survey-likert","64","5551215","0.0-64.0","","","","origin39","{""0"":5,""1"":5}","[0,1]"
"2285.1249999984866","","survey-likert","65","5553503","0.0-65.0","","","","data8","{""0"":5,""1"":5}","[0,1]"
"7508.304999999353","","survey-likert","66","5561015","0.0-66.0","","","","origin42","{""0"":2,""1"":3}","[0,1]"
"3460.2849999991595","","survey-likert","67","5564479","0.0-67.0","","","","data1","{""0"":4,""1"":3}","[0,1]"
"2940.635000000824","","survey-likert","68","5567423","0.0-68.0","","","","data41","{""0"":5,""1"":5}","[0,1]"
"2532.714999999327","","survey-likert","69","5569959","0.0-69.0","","","","data23","{""0"":5,""1"":5}","[0,1]"
"2532.22000000102","","survey-likert","70","5572495","0.0-70.0","","","","origin17","{""0"":5,""1"":5}","[0,1]"
"3012.5599999991828","","survey-likert","71","5575511","0.0-71.0","","","","data42","{""0"":1,""1"":4}","[0,1]"
"5828.770000000077","","survey-likert","72","5581343","0.0-72.0","","","","origin4","{""0"":3,""1"":3}","[0,1]"
"2588.1500000014203","","survey-likert","73","5583934","0.0-73.0","","","","data56","{""0"":4,""1"":5}","[0,1]"
"2540.7250000007334","","survey-likert","74","5586478","0.0-74.0","","","","origin24","{""0"":4,""1"":4}","[0,1]"
"2628.720000000554","","survey-likert","75","5589110","0.0-75.0","","","","data50","{""0"":5,""1"":4}","[0,1]"
"2740.9150000003283","","survey-likert","76","5591854","0.0-76.0","","","","data13","{""0"":5,""1"":5}","[0,1]"
"4644.690000000992","","survey-likert","77","5596502","0.0-77.0","","","","data11","{""0"":0,""1"":6}","[0,1]"
