"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","user_sex","user_age","user_nationality","image_name","responses","question_order"
"168775.84000000003","user_info.html","external-html","0","168796","0.0-0.0","male","25","Asia10","","",""
"2568.0499999999884","instruction_page.html","external-html","1","171402","0.0-1.0","","","","","",""
"2904.404999999999","instruction_page2.html","external-html","2","174338","0.0-2.0","","","","","",""
"4421.2699999999895","instruction_page3.html","external-html","3","178834","0.0-3.0","","","","","",""
"9948.534999999974","","survey-likert","4","188787","0.0-4.0","","","","data42","{""0"":1,""1"":1}","[0,1]"
"7627.614999999991","","survey-likert","5","196418","0.0-5.0","","","","data22","{""0"":5,""1"":4}","[0,1]"
"15643.92499999996","","survey-likert","6","212065","0.0-6.0","","","","data44","{""0"":2,""1"":2}","[0,1]"
"9395.975000000006","","survey-likert","7","221465","0.0-7.0","","","","origin15","{""0"":5,""1"":5}","[0,1]"
"8292.649999999965","","survey-likert","8","229760","0.0-8.0","","","","data27","{""0"":5,""1"":5}","[0,1]"
"10092.455000000045","","survey-likert","9","239856","0.0-9.0","","","","data21","{""0"":6,""1"":5}","[0,1]"
"4756.02999999997","","survey-likert","10","244616","0.0-10.0","","","","data50","{""0"":4,""1"":2}","[0,1]"
"9812.604999999981","","survey-likert","11","254431","0.0-11.0","","","","data10","{""0"":5,""1"":5}","[0,1]"
"5787.924999999959","","survey-likert","12","260223","0.0-12.0","","","","origin37","{""0"":6,""1"":5}","[0,1]"
"11220.23000000001","","survey-likert","13","271446","0.0-13.0","","","","origin21","{""0"":4,""1"":3}","[0,1]"
"9155.844999999972","","survey-likert","14","280604","0.0-14.0","","","","origin29","{""0"":4,""1"":3}","[0,1]"
"3627.8799999999464","","survey-likert","15","284235","0.0-15.0","","","","origin40","{""0"":4,""1"":5}","[0,1]"
"9156.095000000088","","survey-likert","16","293394","0.0-16.0","","","","origin13","{""0"":4,""1"":5}","[0,1]"
"8347.959999999963","","survey-likert","17","301745","0.0-17.0","","","","data55","{""0"":5,""1"":6}","[0,1]"
"7659.890000000014","","survey-likert","18","309409","0.0-18.0","","","","origin14","{""0"":6,""1"":5}","[0,1]"
"8780.609999999928","","survey-likert","19","318192","0.0-19.0","","","","data16","{""0"":4,""1"":6}","[0,1]"
"6820.599999999977","","survey-likert","20","325016","0.0-20.0","","","","origin10","{""0"":2,""1"":1}","[0,1]"
"11771.870000000054","","survey-likert","21","336792","0.0-21.0","","","","data48","{""0"":3,""1"":1}","[0,1]"
"8348.115000000049","","survey-likert","22","345144","0.0-22.0","","","","data59","{""0"":1,""1"":4}","[0,1]"
"7803.975000000035","","survey-likert","23","352975","0.0-23.0","","","","origin45","{""0"":5,""1"":4}","[0,1]"
"7622.135000000009","","survey-likert","24","360601","0.0-24.0","","","","data17","{""0"":4,""1"":3}","[0,1]"
"6947.924999999988","","survey-likert","25","367553","0.0-25.0","","","","origin34","{""0"":5,""1"":5}","[0,1]"
"7244.565000000002","","survey-likert","26","374801","0.0-26.0","","","","data7","{""0"":5,""1"":4}","[0,1]"
"7420.025000000023","","survey-likert","27","382226","0.0-27.0","","","","origin46","{""0"":5,""1"":5}","[0,1]"
"14724.059999999998","","survey-likert","28","396954","0.0-28.0","","","","origin1","{""0"":5,""1"":2}","[0,1]"
"22484.719999999972","","survey-likert","29","419437","0.0-29.0","","","","data25","{""0"":2,""1"":4}","[0,1]"
"10083.850000000035","","survey-likert","30","429523","0.0-30.0","","","","origin50","{""0"":5,""1"":2}","[0,1]"
"6764.489999999991","","survey-likert","31","436290","0.0-31.0","","","","data20","{""0"":4,""1"":2}","[0,1]"
"7803.875000000058","","survey-likert","32","444098","0.0-32.0","","","","origin33","{""0"":4,""1"":1}","[0,1]"
"9811.805000000051","","survey-likert","33","453914","0.0-33.0","","","","origin38","{""0"":5,""1"":4}","[0,1]"
"9403.90499999997","","survey-likert","34","463321","0.0-34.0","","","","origin41","{""0"":4,""1"":6}","[0,1]"
"7940.554999999993","","survey-likert","35","471265","0.0-35.0","","","","data28","{""0"":2,""1"":2}","[0,1]"
"3428.6399999999558","","survey-likert","36","474697","0.0-36.0","","","","data19","{""0"":5,""1"":4}","[0,1]"
"9300.544999999925","","survey-likert","37","484001","0.0-37.0","","","","data29","{""0"":4,""1"":4}","[0,1]"
"6692.519999999902","","survey-likert","38","490697","0.0-38.0","","","","data8","{""0"":4,""1"":5}","[0,1]"
"8155.984999999986","","survey-likert","39","498857","0.0-39.0","","","","origin12","{""0"":5,""1"":6}","[0,1]"
"9291.814999999944","","survey-likert","40","508152","0.0-40.0","","","","origin11","{""0"":5,""1"":6}","[0,1]"
"10051.884999999893","","survey-likert","41","518208","0.0-41.0","","","","origin35","{""0"":5,""1"":2}","[0,1]"
"17099.839999999967","","survey-likert","42","535312","0.0-42.0","","","","origin43","{""0"":6,""1"":5}","[0,1]"
"9716.030000000028","","survey-likert","43","545031","0.0-43.0","","","","origin28","{""0"":6,""1"":6}","[0,1]"
"32195.93499999994","","survey-likert","44","577231","0.0-44.0","","","","origin32","{""0"":5,""1"":6}","[0,1]"
"13931.890000000014","","survey-likert","45","591166","0.0-45.0","","","","origin2","{""0"":5,""1"":4}","[0,1]"
"8500.69000000006","","survey-likert","46","599670","0.0-46.0","","","","origin4","{""0"":4,""1"":3}","[0,1]"
"6851.719999999972","","survey-likert","47","606526","0.0-47.0","","","","data39","{""0"":4,""1"":5}","[0,1]"
"4827.925000000047","","survey-likert","48","611358","0.0-48.0","","","","data32","{""0"":6,""1"":4}","[0,1]"
"5316.505000000005","","survey-likert","49","616678","0.0-49.0","","","","origin5","{""0"":5,""1"":6}","[0,1]"
"22131.919999999925","","survey-likert","50","638813","0.0-50.0","","","","data33","{""0"":3,""1"":1}","[0,1]"
"7187.859999999986","","survey-likert","51","646005","0.0-51.0","","","","origin3","{""0"":4,""1"":1}","[0,1]"
"17572.52000000002","","survey-likert","52","663581","0.0-52.0","","","","data26","{""0"":4,""1"":2}","[0,1]"
"10083.865000000107","","survey-likert","53","673668","0.0-53.0","","","","origin44","{""0"":5,""1"":4}","[0,1]"
"13075.880000000005","","survey-likert","54","686748","0.0-54.0","","","","data51","{""0"":6,""1"":5}","[0,1]"
"7211.949999999953","","survey-likert","55","693964","0.0-55.0","","","","origin30","{""0"":6,""1"":5}","[0,1]"
"10771.875000000116","","survey-likert","56","704739","0.0-56.0","","","","origin47","{""0"":4,""1"":3}","[0,1]"
"7380.035000000033","","survey-likert","57","712124","0.0-57.0","","","","origin25","{""0"":4,""1"":2}","[0,1]"
"14699.139999999898","","survey-likert","58","726827","0.0-58.0","","","","data2","{""0"":4,""1"":4}","[0,1]"
"29826.36499999999","","survey-likert","59","756658","0.0-59.0","","","","data53","{""0"":4,""1"":4}","[0,1]"
"5732.064999999944","","survey-likert","60","762394","0.0-60.0","","","","data57","{""0"":4,""1"":1}","[0,1]"
"23612.199999999837","","survey-likert","61","786009","0.0-61.0","","","","data45","{""0"":3,""1"":4}","[0,1]"
"5748.770000000019","","survey-likert","62","791761","0.0-62.0","","","","origin6","{""0"":5,""1"":4}","[0,1]"
"9468.244999999995","","survey-likert","63","801233","0.0-63.0","","","","data43","{""0"":5,""1"":4}","[0,1]"
