rt,url,trial_type,trial_index,time_elapsed,internal_node_id,user_sex,user_age,user_nationality,image_name,responses,question_order
1810828.905,user_info.html,external-html,0,1810809,0.0-0.0,male,25,Asia10,,,
3550.235,instruction_page.html,external-html,1,1814392,0.0-1.0,,,,,,
1527.135,instruction_page2.html,external-html,2,1815944,0.0-2.0,,,,,,
5765.935,instruction_page3.html,external-html,3,1821744,0.0-3.0,,,,,,
20397.64,,survey-likert,4,1842145,0.0-4.0,,,,data16,"{""0"":4,""1"":4}","[0,1]"
6618.945,,survey-likert,5,1848768,0.0-5.0,,,,origin32,"{""0"":5,""1"":4}","[0,1]"
16428.56,,survey-likert,6,1865200,0.0-6.0,,,,origin6,"{""0"":5,""1"":4}","[0,1]"
5716.065,,survey-likert,7,1870920,0.0-7.0,,,,origin26,"{""0"":4,""1"":2}","[0,1]"
25428.015,,survey-likert,8,1896351,0.0-8.0,,,,origin12,"{""0"":2,""1"":3}","[0,1]"
21900.13,,survey-likert,9,1918254,0.0-9.0,,,,data49,"{""0"":1,""1"":4}","[0,1]"
28460.185,,survey-likert,10,1946717,0.0-10.0,,,,origin36,"{""0"":4,""1"":4}","[0,1]"
6884.07,,survey-likert,11,1953605,0.0-11.0,,,,origin37,"{""0"":5,""1"":2}","[0,1]"
11212.375,,survey-likert,12,1964821,0.0-12.0,,,,data59,"{""0"":2,""1"":3}","[0,1]"
31652.145,,survey-likert,13,1996476,0.0-13.0,,,,origin43,"{""0"":5,""1"":2}","[0,1]"
6572.28,,survey-likert,14,2003052,0.0-14.0,,,,data44,"{""0"":2,""1"":1}","[0,1]"
6188.18,,survey-likert,15,2009243,0.0-15.0,,,,origin1,"{""0"":3,""1"":2}","[0,1]"
10484.185,,survey-likert,16,2019731,0.0-16.0,,,,origin38,"{""0"":4,""1"":4}","[0,1]"
18620.755,,survey-likert,17,2038355,0.0-17.0,,,,data13,"{""0"":4,""1"":4}","[0,1]"
11172.835,,survey-likert,18,2049530,0.0-18.0,,,,data27,"{""0"":4,""1"":3}","[0,1]"
30508.865,,survey-likert,19,2080041,0.0-19.0,,,,data23,"{""0"":4,""1"":2}","[0,1]"
4796.32,,survey-likert,20,2084841,0.0-20.0,,,,origin46,"{""0"":4,""1"":4}","[0,1]"
4180.785,,survey-likert,21,2089025,0.0-21.0,,,,data15,"{""0"":4,""1"":1}","[0,1]"
4436.37,,survey-likert,22,2093465,0.0-22.0,,,,origin40,"{""0"":4,""1"":3}","[0,1]"
4508.31,,survey-likert,23,2097999,0.0-23.0,,,,data3,"{""0"":4,""1"":3}","[0,1]"
4078.34,,survey-likert,24,2102081,0.0-24.0,,,,data19,"{""0"":4,""1"":4}","[0,1]"
7380.67,,survey-likert,25,2109464,0.0-25.0,,,,origin5,"{""0"":4,""1"":3}","[0,1]"
7828.805,,survey-likert,26,2117296,0.0-26.0,,,,origin10,"{""0"":3,""1"":4}","[0,1]"
5052.215,,survey-likert,27,2122352,0.0-27.0,,,,data33,"{""0"":4,""1"":4}","[0,1]"
5148.575,,survey-likert,28,2127504,0.0-28.0,,,,data4,"{""0"":4,""1"":3}","[0,1]"
4788.29,,survey-likert,29,2132296,0.0-29.0,,,,data30,"{""0"":5,""1"":5}","[0,1]"
7348.76,,survey-likert,30,2139648,0.0-30.0,,,,data10,"{""0"":4,""1"":4}","[0,1]"
6052.915,,survey-likert,31,2145704,0.0-31.0,,,,data8,"{""0"":5,""1"":4}","[0,1]"
3708.285,,survey-likert,32,2149415,0.0-32.0,,,,origin30,"{""0"":5,""1"":5}","[0,1]"
8748.795,,survey-likert,33,2158167,0.0-33.0,,,,data17,"{""0"":5,""1"":4}","[0,1]"
7348.205,,survey-likert,34,2165519,0.0-34.0,,,,origin48,"{""0"":5,""1"":4}","[0,1]"
5004.37,,survey-likert,35,2170527,0.0-35.0,,,,origin13,"{""0"":4,""1"":4}","[0,1]"
4956.175,,survey-likert,36,2175487,0.0-36.0,,,,origin47,"{""0"":4,""1"":4}","[0,1]"
3300.89,,survey-likert,37,2178791,0.0-37.0,,,,data29,"{""0"":4,""1"":3}","[0,1]"
4284.135,,survey-likert,38,2183078,0.0-38.0,,,,data52,"{""0"":4,""1"":4}","[0,1]"
4396.86,,survey-likert,39,2187478,0.0-39.0,,,,data12,"{""0"":4,""1"":4}","[0,1]"
6108.32,,survey-likert,40,2193590,0.0-40.0,,,,origin42,"{""0"":2,""1"":1}","[0,1]"
4428.815,,survey-likert,41,2198022,0.0-41.0,,,,data25,"{""0"":2,""1"":1}","[0,1]"
6804.22,,survey-likert,42,2204830,0.0-42.0,,,,origin33,"{""0"":4,""1"":2}","[0,1]"
3964.465,,survey-likert,43,2208798,0.0-43.0,,,,data45,"{""0"":4,""1"":4}","[0,1]"
6468.435,,survey-likert,44,2215270,0.0-44.0,,,,origin2,"{""0"":4,""1"":3}","[0,1]"
138508.31,,survey-likert,45,2353777,0.0-45.0,,,,data37,"{""0"":0,""1"":0}","[0,1]"
20700.35,,survey-likert,46,2374480,0.0-46.0,,,,data31,"{""0"":4,""1"":4}","[0,1]"
8828.265,,survey-likert,47,2383312,0.0-47.0,,,,origin50,"{""0"":5,""1"":4}","[0,1]"
8836.185,,survey-likert,48,2392152,0.0-48.0,,,,origin24,"{""0"":4,""1"":2}","[0,1]"
